"worker_id","sents","work_agr","sent_agr","rels_per_sent","spam"
32292681,4,0.0785087719298246,0.251102862224937,1,TRUE
35944430,10,0.138664239800603,0.397647654602004,1,TRUE
34898132,10,0.220405636030636,0.417353103152162,1,TRUE
32053642,10,0.214079504946378,0.444241943883968,1,TRUE
6330007,6,0.375274725274725,0.512455035203894,1,TRUE
33739744,8,0.23820751897675,0.514055918286052,1,TRUE
32352104,10,0.235375727213963,0.521218712745376,1.1,TRUE
16101132,10,0.298063840920984,0.53402242425867,1,FALSE
4711962,10,0.261461418698261,0.545378754296515,1,TRUE
33381169,10,0.330064188684878,0.54628701830872,1,FALSE
21017840,10,0.413642105021415,0.596563849356319,1,FALSE
6744840,10,0.323666333666334,0.601181799389639,1,FALSE
6574449,10,0.392770138358374,0.606084882436032,1,FALSE
21457135,7,0.341269841269841,0.614776171463404,1,FALSE
28457001,8,0.327812927812928,0.62170545218669,1,FALSE
4316379,10,0.204381035631036,0.621913831376408,1,TRUE
29783446,10,0.39462481962482,0.636663837883803,1,FALSE
13581319,10,0.386446360153257,0.659572890931734,1,FALSE
30627835,10,0.375250626566416,0.659577591362403,1,FALSE
21905906,8,0.443587990956412,0.677332791765583,1,FALSE
31079027,10,0.536209201426593,0.686103997290874,1,FALSE
33949254,10,0.39018315018315,0.698099084002991,1,FALSE
28351359,10,0.483448746067342,0.699288758032482,1,FALSE
35607359,10,0.565650848733556,0.703414037164147,1,FALSE
18666417,10,0.446058608058608,0.711738275662023,1,FALSE
11338264,4,0.525396825396825,0.716862498572514,1,FALSE
33872892,10,0.407339327339327,0.717168736820301,1,FALSE
23804661,10,0.431989111316034,0.719333282406665,1.3,FALSE
6340330,10,0.43091804029304,0.734328979534419,1,FALSE
21832799,10,0.529649852063645,0.736562341775499,1,FALSE
14848125,9,0.536593406593407,0.738587943271019,1,FALSE
31621842,10,0.566666666666667,0.739794099748368,1,FALSE
33984573,10,0.375386285868373,0.749511187784868,1,FALSE
30312592,10,0.549789987789988,0.759721233124985,1,FALSE
31708939,10,0.500954909288243,0.760258372448565,1.1,FALSE
32173500,10,0.48124906282801,0.767825033201258,1,FALSE
24403612,10,0.54537999878909,0.774695571967606,1,FALSE
31304413,10,0.414411514411514,0.775496131199489,1,FALSE
25257275,10,0.522386425834702,0.780216466496243,1,FALSE
28774264,10,0.444852324821899,0.783081796390812,1.4,FALSE
6344072,10,0.470665954332016,0.790578751163116,1,FALSE
23585686,10,0.40753474170104,0.794009918471791,1,FALSE
14861092,10,0.600381616247001,0.802998333817109,1,FALSE
24043308,10,0.49152952310847,0.806007179654162,1,FALSE
31184650,10,0.573117568705804,0.807852633487142,1.2,FALSE
24329110,10,0.638329103846345,0.809182854525694,1,FALSE
21613169,10,0.56003848003848,0.810700980527988,1,FALSE
33115750,10,0.641187739463602,0.813503857977178,1,FALSE
34650780,10,0.422160592041176,0.820353163999771,1,FALSE
18960682,10,0.460804537739522,0.822375376407679,1,FALSE
28503763,10,0.405873856719721,0.822670173833796,1,FALSE
33274628,10,0.553694581280788,0.828612010188002,1,FALSE
30681826,10,0.477549087816945,0.829185321377681,1.3,FALSE
18935996,10,0.469415049970606,0.838007975054793,1,FALSE
23930372,10,0.562273528940196,0.8436434965925,1,FALSE
7385617,10,0.538077200577201,0.843894669760709,1,FALSE
10959404,10,0.661807874665018,0.846646516922769,1,FALSE
21088425,10,0.450620140093824,0.846895818983169,1.2,FALSE
31085823,10,0.489522781140428,0.847327446315936,1,FALSE
33878524,10,0.578809523809524,0.848020072123315,1,FALSE
30901412,10,0.528894512350395,0.850188649488042,1,FALSE
20306047,10,0.507112564078508,0.851914536285256,1.1,FALSE
21865639,10,0.524117695170327,0.855544896448522,1,FALSE
34928865,10,0.443981628147926,0.856736414229277,1,FALSE
17426565,1,0.571428571428571,0.858116330321033,1,TRUE
8715359,10,0.479157684420842,0.859770973625506,1,FALSE
35062592,10,0.508266178266178,0.868794107845203,1,FALSE
35774053,10,0.508266178266178,0.868794107845203,1,FALSE
11257883,10,0.668680309589401,0.87043828274324,1,FALSE
18972023,10,0.668680309589401,0.87043828274324,1,FALSE
27914150,10,0.6298806032677,0.875631932389171,1,FALSE
33565158,10,0.635887343443124,0.876262500951689,1,FALSE
18531561,10,0.583668762469932,0.876510769360247,1,FALSE
22535866,10,0.652677877677878,0.8778945425378,1,FALSE
19638651,10,0.46058962332735,0.883079659757257,1,FALSE
33058612,10,0.661742368742369,0.884150484815572,1,FALSE
25486037,10,0.547074642529188,0.886554498337559,1.1,FALSE
27836433,10,0.583564711150918,0.88707063089813,1,FALSE
31256687,10,0.50612318715767,0.887643339700252,1,FALSE
1924522,10,0.520412724530372,0.889519136608685,1,FALSE
22031444,10,0.520412724530372,0.889519136608685,1,FALSE
11460728,10,0.677559002167016,0.894898780220601,1,FALSE
27934334,10,0.492825630252101,0.900411279357719,1.2,FALSE
26492726,10,0.591472930361819,0.902321769861645,1,FALSE
30782237,10,0.5843820861678,0.908554972813879,1,FALSE
33601893,10,0.525076583648012,0.908815291237334,1,FALSE
3587109,10,0.651435675435675,0.91082268556405,1.1,FALSE
15848372,10,0.602386502386502,0.917997282134382,1,FALSE
18215885,10,0.576126797179429,0.922080824957837,1,FALSE
20430407,10,0.576126797179429,0.922080824957837,1,FALSE
11106820,10,0.694992784992785,0.933533984797091,1,FALSE
6309240,10,0.793733539188085,0.950474766136478,1,FALSE
20512953,10,0.793733539188085,0.950474766136478,1,FALSE
21875134,10,0.781079526534072,0.950474766136478,1,FALSE
35612952,10,0.576361516880093,0.955487221031992,1.1,FALSE
34333895,10,0.68915758570931,0.961459698638484,1,FALSE
15577915,1,0.785714285714286,0.976092160357725,1,TRUE
29208173,2,0.9375,0.998527242750791,1,FALSE
