,duration,job,judgment,unit,wqs
30627835,33.7142857143,7,54,54,0.58121290173
30681826,92.1223809524,40,375,375,0.633321565463
30762019,81.3,1,10,10,0.352488386194
30777913,31.7702380952,42,398,398,0.256773305295
30782237,25.8433333333,5,37,37,0.619251499176
30901412,34.5923076923,13,130,130,0.500838632974
30941227,61.1214285714,8,77,77,0.291178439502
30957357,92.4,1,10,10,0.163048662178
30962210,54.1066666667,5,43,43,0.504334104877
31089452,40.3,1,10,10,0.525309509317
31176117,45.9588477366,27,231,231,0.593868121843
31184650,36.175,8,66,66,0.437965004399
31228275,64.5333333333,3,21,21,0.436480196607
31256687,18.56,5,35,35,0.45487425804
31260517,99.9,1,10,10,0.323570544583
31304413,40.0476190476,6,49,49,0.647488168045
31329809,62.0175925926,9,80,80,0.28093538443
31345986,94.3,1,10,10,0.656513722336
31383873,17.75,2,7,7,0.0477677814883
31448050,52.65,2,20,20,0.591797198367
31508822,80.6573870574,26,207,207,0.389591589296
31650069,34.6510869565,23,203,203,0.638977063454
31708939,41.478042328,36,342,342,0.636684025931
31738779,119.57358156,47,436,436,0.540087736163
31743852,26.3166666667,6,60,60,0.58493463935
31883685,55.6136054422,49,486,486,0.632748420914
31948170,39.2,1,10,10,0.393797081099
31967679,64.8,1,10,10,0.542479187328
31973624,77.75,2,14,14,0.0456549294799
31988217,33.7424162257,36,318,318,0.637502760206
32053642,33.3883333333,10,58,58,0.357391286418
32055577,196.0,1,1,1,0.0376772698343
32094044,44.7,1,10,10,0.449653511603
32125821,47.7,1,10,10,0.462214238525
32173500,49.9016666667,15,148,148,0.526871078492
32196055,247.0,1,2,2,0.400622690605
32292681,112.0,1,1,1,0.992203495476
32338429,34.7666666667,7,58,58,0.248595757807
32352104,34.0159090909,11,88,88,0.437987153268
32356401,98.9,2,11,11,0.453802733982
32363453,34.85,2,20,20,0.0178066873976
32523974,28.4333333333,6,60,60,0.0841299925246
32573092,92.475,4,38,38,0.458563101072
32655637,69.4,1,10,10,0.648586396534
32695853,87.5634920635,9,69,69,0.341043070688
32799278,22.4142857143,2,17,17,0.119041713781
32850083,52.4,1,10,10,0.71159408404
32987272,29.0551020408,7,61,61,0.456160727387
33018272,67.3714285714,7,70,70,0.267097694298
33024386,83.05,2,20,20,0.394587063646
33057016,134.016666667,4,36,36,0.353236787235
33058612,30.5,1,4,4,0.443997184972
33110177,79.1,1,10,10,0.680184174568
33115750,64.5044444444,10,80,80,0.511039051626
33245009,183.666666667,4,8,8,0.358037884886
33274628,93.0,1,1,1,0.922038940433
33280016,162.0,1,1,1,0.692203851388
33330229,62.4,1,10,10,0.641564440378
33402064,108.1,1,10,10,0.359585265452
33427067,27.5,2,20,20,0.557623245442
33432621,71.85995671,22,193,193,0.291696315398
33435788,85.2944444444,8,70,70,0.372614961107
33469168,68.0181878307,6,47,47,0.490536991275
33565158,70.837037037,21,207,207,0.667714643911
33675808,38.68,5,47,47,0.319536111961
33684645,143.75,1,4,4,0.587838465442
33708599,90.8767857143,12,115,115,0.558177627277
33721681,133.25,1,4,4,0.846816630697
33729510,91.0,1,2,2,0.896312917791
33753638,85.875,2,9,9,0.469745918011
33836450,37.0,1,1,1,0.0685125536309
33878524,191.016666667,3,28,28,0.712771840477
33915034,9.0,8,11,11,0.00157175444178
33920167,97.2,1,10,10,0.672843715768
34042603,68.053125,8,61,61,0.0664046107177
34070076,111.0,1,1,1,1.0
34179439,61.0,1,9,9,0.723703045016
34257798,79.8925925926,3,22,22,0.722816328069
34289442,95.7,1,10,10,0.762025136151
34305531,33.875,3,28,28,0.655084833122
34333895,69.7,1,10,10,0.588761328271
34537475,142.0,1,3,3,0.802534176003
34650780,31.75,2,20,20,0.703379956633
34701616,120.6,3,30,30,0.665761629822
34706258,105.9,3,30,30,0.699193207016
34727841,46.5,2,20,20,0.245851422562
34747155,439.0,1,2,2,0.862060395202
34788729,235.2,4,34,34,0.625830726445
34859044,158.2,1,10,10,0.479066021438
34915826,66.6333333333,3,30,30,0.605786279723
34928865,91.2388888889,6,20,20,0.421972084145
34942809,59.9416666667,4,31,31,0.573945199835
35061798,204.0,1,2,2,0.847721833167
35103310,97.1666666667,1,6,6,0.569743204743
35118307,58.7,1,10,10,0.361121453683
35127109,98.6,1,5,5,0.426790518319
35206299,211.0,1,1,1,0.757293892676
35242242,94.14,5,16,16,0.472405350279
35308542,252.0,1,1,1,0.460781285169
35320759,56.8,1,10,10,0.64690178735
35394287,24.1153472222,40,388,388,0.4135977211
35407670,24.3428571429,7,62,62,0.208706807245
35443078,40.0,2,12,12,0.368200089841
35473724,71.1666666667,2,19,19,0.066917799951
35496876,60.2844202899,23,215,215,0.329064491856
35607359,27.2944444444,9,68,68,0.613388510661
35730547,110.4,1,10,10,0.674033779109
35739727,484.666666667,1,3,3,0.278066932218
35751448,37.8767857143,4,35,35,0.493518012578
35774053,27.1666666667,1,6,6,0.708909964614
35788601,72.0,1,1,1,0.53212320917
35849301,122.70625,8,51,51,0.510662028621
35868781,101.4,1,10,10,0.598741905018
35936381,16.4166666667,2,13,13,0.123774301276
36100207,90.25,1,4,4,0.405798545603
36120362,209.0,1,1,1,0.0
36155226,34.3333333333,1,6,6,0.0686475529663
36159158,91.2,1,5,5,0.179027786832
36218728,66.5,1,10,10,0.684722761185
36240629,65.4777777778,3,17,17,0.642179490288
36261795,42.0285714286,7,68,68,0.587786068079
36267735,25.4,1,10,10,0.685108975418
36304401,76.45,5,44,44,0.455560521918
36313199,36.5678297756,29,238,238,0.611639700677
36340274,313.470555556,30,281,281,0.450565502728
36350388,135.05,4,40,40,0.65161235021
36405459,74.9928571429,4,28,28,0.429732744286
36430872,41.7,2,12,12,0.42635288893
36448777,42.7413580247,9,83,83,0.486576025504
36468960,46.44,5,50,50,0.643508010271
36489962,52.7247222222,40,399,399,0.637027442539
36500598,66.7,1,10,10,0.757429968694
36501503,45.5708437761,19,168,168,0.624467349102
36517633,37.9,1,10,10,0.301046384276
36518946,62.0,2,11,11,0.433644806852
36530035,113.6,10,45,45,0.647742986155
36559976,63.9,1,10,10,0.505869575305
36568312,38.7,1,10,10,0.724848805762
36600154,211.9,2,20,20,0.703585498678
36616997,225.0,2,4,4,0.656171797429
36678859,174.857142857,1,7,7,0.784674857532
36686636,193.1,1,10,10,0.471765337476
36781223,44.8,1,10,10,0.543106233686
36781511,45.2777777778,3,18,18,0.423664603148
36795545,73.5,6,60,60,0.372394807104
36812057,84.85,2,20,20,0.621290253527
36826029,79.3,38,368,368,0.615353676125
36837746,68.7,1,10,10,0.215789818898
36851940,71.1062222222,50,487,487,0.548498393667
36871506,229.0,2,12,12,0.254953145831
36895228,82.0,1,1,1,0.0
36909846,210.833333333,1,6,6,0.439856280773
36913780,99.1428571429,1,7,7,0.6939878258
37011810,264.5,1,2,2,0.0965130100758
37012492,146.69,10,100,100,0.595883451259
37053183,79.262962963,3,29,29,0.612387029648
37060395,28.3402958153,33,190,190,0.666194251074
37079883,21.516359447,31,133,133,0.645797913015
37094049,52.8333333333,2,4,4,0.491836120184
37094596,140.641269841,6,53,53,0.224900055011
37098004,103.861904762,6,57,57,0.382330797047
37102649,53.25,2,3,3,0.794455096275
37108400,110.95952381,7,51,51,0.520354688191
37121659,89.4285714286,2,8,8,0.386434040478
37145875,184.5,1,2,2,0.672089002845
37206449,114.65,3,24,24,0.399266619281
37249532,115.575,4,40,40,0.251255049408
37258901,42.5833333333,3,7,7,0.378232967985
37262070,33.5,2,2,2,0.143611532783
37264533,65.0,1,1,1,0.00177497607833
37336603,60.5,1,10,10,0.262959682461
37368882,136.0,1,2,2,0.603288012559
37378324,130.35,2,13,13,0.4863211194
37388839,67.9,1,10,10,0.410167132177
37415218,548.0,1,1,1,0.300578469556
37444739,20.95,2,20,20,0.613192460764
37455907,186.5,1,2,2,0.750823784874
37480948,37.3837454212,26,175,175,0.422878158504
37488421,69.85,2,20,20,0.690725104451
37496830,58.7,1,10,10,0.724135158057
37501225,53.7111111111,3,15,15,0.034042940968
37559426,25.9734126984,21,152,152,0.510940180742
37574526,33.36,5,50,50,0.271082262949
37604123,51.3666666667,3,30,30,0.638828252182
37604477,36.8833333333,2,16,16,0.487771727385
37654450,85.8740740741,3,20,20,0.359973525014
37657237,74.0,1,6,6,0.854449239987
37678342,83.3768620269,13,85,85,0.542345570477
37692662,52.4,1,5,5,0.688157580701
37710009,60.75,2,15,15,0.661366529717
37739447,88.0,1,2,2,0.310032821226
37740195,109.777777778,1,9,9,0.36116948883
37758476,66.7,1,10,10,0.582443793922
37766446,77.6006410256,26,206,206,0.619871685379
37779726,75.6,1,10,10,0.343391242253
37781749,92.3,1,10,10,0.444491934369
37786853,107.626666667,5,34,34,0.48731751431
37796006,69.0,1,2,2,0.40357521526
37832891,53.7166666667,2,13,13,0.478389524105
37862400,114.347685185,18,161,161,0.502542681715
